dataid,devicename,sensor,sensorid,value,dbtimestamp
69478310,NDS016,Soil Potassium,14,149.0,2025-05-07 00:02:50.629780
69478309,NDS016,Soil Phosphorus,13,155.0,2025-05-07 00:02:50.629780
69454982,NDS016,Soil Moisture,9,21.4,2025-05-06 00:03:58.543356
69454983,NDS016,Soil Temperature,8,26.4,2025-05-06 00:03:58.543356
69454988,NDS016,Soil Potassium,14,149.0,2025-05-06 00:03:58.543356
69454987,NDS016,Soil Phosphorus,13,156.0,2025-05-06 00:03:58.543356
69454986,NDS016,Soil Nitrogen,12,47.0,2025-05-06 00:03:58.543356
69454985,NDS016,Soil pH,10,5.7,2025-05-06 00:03:58.543356
69454984,NDS016,Soil EC,11,413.0,2025-05-06 00:03:58.543356
69430215,NDS016,Soil pH,10,5.9,2025-05-05 00:04:23.527016
69430216,NDS016,Soil Nitrogen,12,49.0,2025-05-05 00:04:23.527016
69430214,NDS016,Soil EC,11,421.0,2025-05-05 00:04:23.527016
69430212,NDS016,Soil Moisture,9,21.0,2025-05-05 00:04:23.527016
69430217,NDS016,Soil Phosphorus,13,160.0,2025-05-05 00:04:23.527016
69430218,NDS016,Soil Potassium,14,153.0,2025-05-05 00:04:23.527016
69430213,NDS016,Soil Temperature,8,26.8,2025-05-05 00:04:23.527016
69408097,NDS016,Soil Potassium,14,154.0,2025-05-04 00:01:53.874120
69408095,NDS016,Soil Nitrogen,12,50.0,2025-05-04 00:01:53.874120
69408096,NDS016,Soil Phosphorus,13,161.0,2025-05-04 00:01:53.874120
69408091,NDS016,Soil Moisture,9,21.5,2025-05-04 00:01:53.874120
69408094,NDS016,Soil pH,10,5.2,2025-05-04 00:01:53.874120
69408092,NDS016,Soil Temperature,8,25.9,2025-05-04 00:01:53.874120
69408093,NDS016,Soil EC,11,424.0,2025-05-04 00:01:53.874120
69384154,NDS016,Soil Temperature,8,26.9,2025-05-03 00:00:35.019671
69384157,NDS016,Soil Nitrogen,12,53.0,2025-05-03 00:00:35.019671
69384153,NDS016,Soil Moisture,9,23.6,2025-05-03 00:00:35.019671
69384155,NDS016,Soil EC,11,442.0,2025-05-03 00:00:35.019671
69384158,NDS016,Soil Phosphorus,13,170.0,2025-05-03 00:00:35.019671
69384159,NDS016,Soil Potassium,14,163.0,2025-05-03 00:00:35.019671
69384156,NDS016,Soil pH,10,5.0,2025-05-03 00:00:35.019671
69355505,NDS016,Soil Phosphorus,13,171.0,2025-05-02 00:03:27.320260
69355503,NDS016,Soil pH,10,5.2,2025-05-02 00:03:27.320260
69355502,NDS016,Soil EC,11,445.0,2025-05-02 00:03:27.320260
69355506,NDS016,Soil Potassium,14,165.0,2025-05-02 00:03:27.320260
69355504,NDS016,Soil Nitrogen,12,54.0,2025-05-02 00:03:27.320260
69355501,NDS016,Soil Temperature,8,26.4,2025-05-02 00:03:27.320260
69355500,NDS016,Soil Moisture,9,21.9,2025-05-02 00:03:27.320260
69330991,NDS016,Soil EC,11,448.0,2025-05-01 00:01:35.966686
69330994,NDS016,Soil Phosphorus,13,173.0,2025-05-01 00:01:35.966686
69330989,NDS016,Soil Moisture,9,23.4,2025-05-01 00:01:35.966686
69330993,NDS016,Soil Nitrogen,12,55.0,2025-05-01 00:01:35.966686
69330990,NDS016,Soil Temperature,8,26.4,2025-05-01 00:01:35.966686
69330992,NDS016,Soil pH,10,4.9,2025-05-01 00:01:35.966686
69330995,NDS016,Soil Potassium,14,166.0,2025-05-01 00:01:35.966686
69305194,NDS016,Soil EC,11,457.0,2025-04-30 00:02:03.714757
69305195,NDS016,Soil pH,10,5.3,2025-04-30 00:02:03.714757
69305196,NDS016,Soil Nitrogen,12,56.0,2025-04-30 00:02:03.714757
69305198,NDS016,Soil Potassium,14,170.0,2025-04-30 00:02:03.714757
69305193,NDS016,Soil Temperature,8,26.5,2025-04-30 00:02:03.714757
69305192,NDS016,Soil Moisture,9,23.1,2025-04-30 00:02:03.714757
69305197,NDS016,Soil Phosphorus,13,177.0,2025-04-30 00:02:03.714757
69277594,NDS016,Soil EC,11,462.0,2025-04-29 00:00:51.847923
69277595,NDS016,Soil pH,10,5.3,2025-04-29 00:00:51.847923
