dbtimestamp,devicename,Soil EC,Soil Moisture,Soil Nitrogen,Soil Phosphorus,Soil Potassium,Soil Temperature,Soil pH,NPK Ratio,N Category,P Category,K Category,NPK Level,NPK Done,feeding_description,Feeding Category
2025-02-17 00:00:01.295890,NDS004,1667.0,59.4,309.0,761.0,759.0,27.1,7.9,1.0 : 2.5 : 2.5,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-17 00:00:01.108202,NDS012,1100.0,44.3,191.0,487.0,483.0,27.8,7.5,1.0 : 2.5 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-17 00:00:00.991827,NDS016,1842.0,81.9,345.0,845.0,844.0,27.1,5.4,1.0 : 2.4 : 2.4,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-16 00:00:21.127160,NDS016,1879.0,85.5,353.0,863.0,862.0,26.9,5.7,1.0 : 2.4 : 2.4,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-16 00:00:15.710921,NDS005,1514.0,87.9,277.0,687.0,684.0,28.0,7.1,1.0 : 2.5 : 2.5,High,Optimal,Optimal,Invalid,Not Done Composting,,None
2025-02-16 00:00:13.355174,NDS015,1473.0,41.3,268.0,667.0,664.0,27.0,8.3,1.0 : 2.5 : 2.5,High,Optimal,Optimal,Invalid,Not Done Composting,,None
2025-02-16 00:00:10.396842,NDS004,1702.0,59.6,316.0,778.0,776.0,27.0,8.0,1.0 : 2.5 : 2.5,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-16 00:00:04.356104,NDS011,1085.0,50.7,188.0,480.0,476.0,27.4,6.6,1.0 : 2.6 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-16 00:00:03.027479,NDS012,1173.0,43.3,206.0,522.0,519.0,27.5,7.5,1.0 : 2.5 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-16 00:00:01.682112,NDS006,936.0,29.7,156.0,408.0,403.0,27.4,6.8,1.0 : 2.6 : 2.6,High,High,High,Invalid,Not Done Composting,,None
2025-02-15 00:00:27.434891,NDS016,1910.0,89.6,360.0,878.0,877.0,27.2,5.9,1.0 : 2.4 : 2.4,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-15 00:00:21.444028,NDS005,1583.0,85.0,291.0,720.0,718.0,28.9,7.4,1.0 : 2.5 : 2.5,High,Optimal,Optimal,Invalid,Not Done Composting,,None
2025-02-15 00:00:20.323171,NDS015,1485.0,40.5,271.0,673.0,670.0,27.3,8.0,1.0 : 2.5 : 2.5,High,Optimal,Optimal,Invalid,Not Done Composting,,None
2025-02-15 00:00:20.323140,NDS004,1737.0,63.8,324.0,794.0,793.0,27.5,8.2,1.0 : 2.5 : 2.4,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-15 00:00:02.358615,NDS012,1219.0,48.2,215.0,545.0,541.0,27.9,7.7,1.0 : 2.5 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-15 00:00:02.052482,NDS011,1091.0,52.8,189.0,483.0,479.0,27.8,7.1,1.0 : 2.6 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-15 00:00:00.557452,NDS006,927.0,27.0,155.0,404.0,399.0,27.7,5.0,1.0 : 2.6 : 2.6,High,High,High,Invalid,Not Done Composting,,None
2025-02-14 00:00:19.515893,NDS005,1544.0,74.5,283.0,701.0,699.0,28.9,7.4,1.0 : 2.5 : 2.5,High,Optimal,Optimal,Invalid,Not Done Composting,,None
2025-02-14 00:00:19.486164,NDS006,910.0,27.6,151.0,396.0,391.0,27.7,4.3,1.0 : 2.6 : 2.6,High,High,High,Invalid,Not Done Composting,,None
2025-02-14 00:00:16.508683,NDS016,1935.0,91.9,365.0,890.0,889.0,27.3,6.5,1.0 : 2.4 : 2.4,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-14 00:00:10.865144,NDS015,1476.0,39.5,269.0,669.0,666.0,27.5,5.9,1.0 : 2.5 : 2.5,High,Optimal,Optimal,Invalid,Not Done Composting,,None
2025-02-14 00:00:08.423217,NDS004,1784.0,62.5,333.0,817.0,816.0,27.7,8.3,1.0 : 2.5 : 2.5,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-14 00:00:04.430278,NDS011,1044.0,52.1,179.0,460.0,456.0,28.0,7.3,1.0 : 2.6 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-14 00:00:03.918540,NDS012,1283.0,43.4,229.0,576.0,572.0,28.1,7.7,1.0 : 2.5 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-13 00:00:28.216632,NDS015,1380.0,35.7,249.0,622.0,619.0,27.4,4.8,1.0 : 2.5 : 2.5,High,Optimal,Optimal,Invalid,Not Done Composting,,None
2025-02-13 00:00:24.604794,NDS005,1550.0,77.3,285.0,704.0,702.0,27.9,9.0,1.0 : 2.5 : 2.5,High,Optimal,Optimal,Invalid,Not Done Composting,,None
2025-02-13 00:00:24.253259,NDS004,1740.0,59.7,324.0,796.0,794.0,27.8,8.3,1.0 : 2.5 : 2.5,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-13 00:00:14.885475,NDS006,842.0,26.7,137.0,363.0,358.0,27.3,4.3,1.0 : 2.6 : 2.6,High,High,High,Invalid,Not Done Composting,,None
